run,sigma_setting,k,d,n,num_runs,seed,rng_seed,tau_min,tau_max,b_plus_multiplier,b_plus_oracle,L1_empirical,L1_recovered,normalized_L1_empirical,normalized_L1_recovered,true_max_eig,empirical_max_eig,recovered_max_eig
1,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,669.3569127484366,365.29228766633446,2.6146754404235804,1.426922998696619,11.111111111111112,30.079039078422156,11.344704861111113
2,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,663.9980220513207,247.76008836992895,2.5937422736379716,0.967812845195035,11.111111111111112,27.78743840790268,7.285590277777779
3,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,684.0972710711826,424.48481636114633,2.672254965121807,1.6581438139107278,11.111111111111112,29.286375474503416,12.322222222222225
4,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,675.874762744708,334.3756987451222,2.640135791971516,1.3061550732231335,11.111111111111112,30.24305743508117,12.322222222222225
5,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,673.2510829431208,295.45874108552636,2.6298870427465655,1.1541357073653373,11.111111111111112,28.050811984486703,12.322222222222225
6,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,673.0008372879577,253.93351628443122,2.6289095206560846,0.9919277979860595,11.111111111111112,29.323205494150777,7.753949652777779
7,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,674.7441848732517,374.23281645977346,2.6357194721611394,1.46184693929599,11.111111111111112,28.69913111132975,12.322222222222225
8,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,667.7328088332672,263.6635936288882,2.60833128450495,1.0299359126128445,11.111111111111112,28.848043528930546,8.014149305555556
9,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,657.586324846749,257.9633843682434,2.5686965814326133,1.0076694701884508,11.111111111111112,29.28240602974943,8.118229166666667
10,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,659.2208689459026,353.3030771589676,2.575081519319932,1.3800901451522172,11.111111111111112,26.6331818488476,5.464192708333334
1,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,983.5468394512517,394.3573374397657,3.841979841606452,1.5404583493740847,11.111111111111112,31.168320484650707,5.724392361111112
2,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,988.1549576449695,277.8296977721542,3.859980303300662,1.0852722569224773,11.111111111111112,30.597761675342184,7.077430555555557
3,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,986.5139894168202,232.6140180417238,3.853570271159454,0.9086485079754836,11.111111111111112,30.626699121548086,7.129470486111112
4,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,1008.7479331583133,314.08821364509697,3.9404216138996615,1.22690708455116,11.111111111111112,30.89980007043001,6.869270833333334
5,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,975.0214920132744,354.51969587861527,3.808677703176853,1.3848425620258409,11.111111111111112,30.69374248465008,12.322222222222225
6,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,983.6443952339522,404.3418620356462,3.8423609188826258,1.579460398576743,11.111111111111112,30.137872796150944,12.322222222222225
7,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,996.6293412784274,243.03690319145608,3.893083364368857,0.9493629030916253,11.111111111111112,31.614144340630958,12.322222222222225
8,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,968.0747960028574,306.3864926204068,3.7815421718861617,1.196822236798464,11.111111111111112,32.884249428947825,12.322222222222225
9,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,993.5974450942434,223.7453183809593,3.8812400198993884,0.8740051499256223,11.111111111111112,31.25868817915989,7.49375
10,Two-spike,7,256,128,10,2026,2027,0.3,1.0,1.1,13.322222222222225,987.6681230899723,308.3985442184325,3.858078605820204,1.204681813353252,11.111111111111112,31.903555392024415,12.322222222222225
1,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,621.9789044622628,334.81878543811064,2.429605095555714,1.3078858806176197,18.510367465746974,34.25579895968019,10.563034885752073
2,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,622.4456584282636,312.60452993406875,2.431428353235405,1.221111445054956,18.510367465746974,33.45966723560281,20.46140421232167
3,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,639.3238181372637,327.88247740346935,2.4973586645986865,1.2807909273573022,18.510367465746974,35.05007248218116,20.46140421232167
4,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,616.0661145493443,351.5701652785542,2.4065082599583763,1.3733209581193524,18.510367465746974,33.27755593522561,11.149870157182743
5,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,623.3844580110858,342.17075170407554,2.435095539105804,1.336604498844045,18.510367465746974,32.284308786632415,9.640865173503876
6,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,609.4271113604234,298.0668484050069,2.380574653751654,1.1643236265820582,18.510367465746974,35.014341457238004,20.46140421232167
7,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,627.3069019493981,313.1405096227366,2.4504175857398365,1.2232051157138149,18.510367465746974,32.58453160016862,18.19189341435079
