run,sigma_setting,k,d,n,num_runs,seed,rng_seed,tau_min,tau_max,b_plus_multiplier,b_plus_oracle,L1_empirical,L1_recovered,normalized_L1_empirical,normalized_L1_recovered,true_max_eig,empirical_max_eig,recovered_max_eig
1,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,669.3569127484366,365.29228766633446,2.6146754404235804,1.426922998696619,11.111111111111112,30.079039078422156,11.344704861111113
2,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,663.9980220513207,247.76008836992895,2.5937422736379716,0.967812845195035,11.111111111111112,27.78743840790268,7.285590277777779
3,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,684.0972710711826,424.48481636114633,2.672254965121807,1.6581438139107278,11.111111111111112,29.286375474503416,12.322222222222225
4,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,675.874762744708,334.3756987451222,2.640135791971516,1.3061550732231335,11.111111111111112,30.24305743508117,12.322222222222225
5,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,673.2510829431208,295.45874108552636,2.6298870427465655,1.1541357073653373,11.111111111111112,28.050811984486703,12.322222222222225
6,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,673.0008372879577,253.93351628443122,2.6289095206560846,0.9919277979860595,11.111111111111112,29.323205494150777,7.753949652777779
7,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,674.7441848732517,374.23281645977346,2.6357194721611394,1.46184693929599,11.111111111111112,28.69913111132975,12.322222222222225
8,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,667.7328088332672,263.6635936288882,2.60833128450495,1.0299359126128445,11.111111111111112,28.848043528930546,8.014149305555556
9,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,657.586324846749,257.9633843682434,2.5686965814326133,1.0076694701884508,11.111111111111112,29.28240602974943,8.118229166666667
10,Identity,7,256,128,10,2026,2026,0.3,1.0,1.1,13.322222222222225,659.2208689459026,353.3030771589676,2.575081519319932,1.3800901451522172,11.111111111111112,26.6331818488476,5.464192708333334
