run,sigma_setting,k,d,n,num_runs,seed,rng_seed,tau_min,tau_max,b_plus_multiplier,b_plus_oracle,L1_empirical,L1_recovered,normalized_L1_empirical,normalized_L1_recovered,true_max_eig,empirical_max_eig,recovered_max_eig
1,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,621.9789044622628,334.81878543811064,2.429605095555714,1.3078858806176197,18.510367465746974,34.25579895968019,10.563034885752073
2,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,622.4456584282636,312.60452993406875,2.431428353235405,1.221111445054956,18.510367465746974,33.45966723560281,20.46140421232167
3,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,639.3238181372637,327.88247740346935,2.4973586645986865,1.2807909273573022,18.510367465746974,35.05007248218116,20.46140421232167
4,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,616.0661145493443,351.5701652785542,2.4065082599583763,1.3733209581193524,18.510367465746974,33.27755593522561,11.149870157182743
5,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,623.3844580110858,342.17075170407554,2.435095539105804,1.336604498844045,18.510367465746974,32.284308786632415,9.640865173503876
6,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,609.4271113604234,298.0668484050069,2.380574653751654,1.1643236265820582,18.510367465746974,35.014341457238004,20.46140421232167
7,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,627.3069019493981,313.1405096227366,2.4504175857398365,1.2232051157138149,18.510367465746974,32.58453160016862,18.19189341435079
8,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,621.3089018511996,458.8507744500588,2.4269878978562485,1.7923858376955422,18.510367465746974,37.63626300390841,20.46140421232167
9,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,604.2880195506168,334.0488363597419,2.360500076369597,1.304878267030242,18.510367465746974,32.33331586708921,10.479201275547691
10,Toeplitz,7,256,128,10,2026,2028,0.3,1.0,1.1,21.46140421232167,626.238746499969,244.11971354253626,2.446245103515504,0.9535926310255323,18.510367465746974,34.92879364962615,15.844552328628108
